id,system,description,labels,cost,cost
36,A,A Nessus daemon is listening on the remote port.,AU-4,5000,565
222,B,According to the MAC address of its network adapter the remote hostis a VMware virtual machine.,AU-25,370,565
329,B,Apache Tomcat is running on the remote host and is reporting itsversion number on the default error pages. A remote attacker canexploit this information to mount further attacks.,AU-40,5000,565
421,C,At least one of the X.509 certificates sent by the remote host has akey that is shorter than 2048 bits. According to industry standardsset by the Certification Authority/Browser CA/B Forum certificatesissued after January 1 2014 must be at least 2048 bits.Some browser SSL implementations may reject keys less than 2048 bitsafter January 1 2014. Additionally some SSL certificate vendors mayrevoke certificates less than 2048 bits before January 1 2014.Note that Nessus will not flag root certificates with RSA keys lessthan 2048 bits if they were issued prior to December 31 2010 as thestandard considers them exempt.,AU-65,370,565
380,B,Based on the remote operating system it is possible to determinewhat the remote system type is eg: a printer router general-purposecomputer etc.,AU-53,370,565
340,B,By calling the OPTIONS method it is possible to determine which HTTP methods are allowed on each directory. As this list may be incomplete the plugin also tests - if Thoroughtests are enabled or Enable web applications tests is set to yesin the scan policy - various known HTTP methods on each directory andconsiders them as unsupported if it receives a response code of 400403 405 or 501. Note that the plugin output is only informational and does notnecessarily indicate the presence of any security vulnerabilities.,AU-45,370,565
285,B,By requesting a non-existent .aspx file on the remote web server itis possible to obtain the exact version number of the remote .NETframework.,AU-30,1200,565
43,A,By sending a Lookup request to the portmapper TCP 135 or epmapperPIPE it was possible to enumerate the Distributed ComputingEnvironment DCE services running on the remote port. Using thisinformation it is possible to connect and bind to each service bysending an RPC request to the remote port/pipe.,AU-11,2340,565
363,B,By using information obtained from a Nessus scan this plugin reportsCPE Common Platform Enumeration matches for various hardware andsoftware products found on a host. Note that if an official CPE is not available for the product thisplugin computes the best possible CPE based on the informationavailable from the scan.,AU-48,5000,565
56,A,COM+ Internet Services are RPC over HTTP tunneling and require IIS tooperate.  CIS ports shouldnt be visible on internet but only behind afirewall.,AU-12,5000,565
143,A,Dell OpenManage Server Administrator OMSA a systems managementserver is running on the remote host.,AU-21,370,565
328,B,Each ethernet MAC address starts with a 24-bit Organizationally Unique Identifier OUI. These OUIs are registered by IEEE.,AU-39,2340,565
364,B,Hostnames different from the current hostname have been collected bymiscellaneous plugins. Nessus has generated a list of hostnames thatpoint to the remote host. Note that these are only the alternatehostnames for vhosts discovered on a web server.Different web servers may be hosted on name-based virtual hosts.,AU-49,370,565
38,A,It is possible to obtain information about the remote SSH server bysending an empty authentication request.,AU-6,1200,565
7,A,It is possible to obtain the banner of the remote FTP server byconnecting to a remote port.,SC-1,370,370
268,B,It is possible to obtain the list of handlers the remote ASP.NET webserver supports.,AU-29,370,565
320,B,It was not possible to connect to PIPE\winreg on the remote host.If you intend to use Nessus to perform registry-based checks theregistry checks will not work because the Remote Registry Accessservice winreg has been disabled on the remote host or can not beconnected to with the supplied credentials.,AU-37,370,565
69,A,It was possible to identify the remote service by its banner or bylooking at the error message it sends when it receives a HELPrequest.,AU-17,370,565
233,B,Local security checks have been disabled for this host because eitherthe credentials supplied in the scan policy did not allow Nessus tolog into it or some other problem occurred.,AU-27,2340,565
234,B,Nessus was able to identify the remote service by its banner or bylooking at the error message it sends when it receives an HTTPrequest.,AU-28,5000,565
478,C,Nessus was able to login to the remote host using SSH or localcommands and extract the list of installed packages.,AU-81,370,565
57,A,Nessus was able to obtain the remote operating system name and versionWindows and/or Samba by sending an authentication request to port139 or 445. Note that this plugin requires SMB1 to be enabled on thehost.,AU-13,370,565
483,C,Nessus was able to obtain the version of SMB running on the remotehost by sending an authentication request to port 139 or 445.Note that this plugin is a remote check and does not work on agents.,AU-83,2340,565
142,A,Nessus was able to resolve the fully qualified domain name FQDN ofthe remote host.,AU-20,5000,565
144,A,Nessus was able to run netstat on the remote host to enumerate theopen ports.See the section plugins options about configuring this plugin.,AU-22,1200,565
404,C,Signing is not required on the remote SMB server. An unauthenticatedremote attacker can exploit this to conduct man-in-the-middle attacksagainst the SMB server.,AU-58,1200,565
66,A,Terminal Services allows a Windows user to remotely obtain a graphicallogin and therefore act as a local user on the remote host.If an attacker gains a valid login and password this service could beused to gain further access on the remote host.  An attacker may alsouse this service to mount a dictionary attack against the remote hostto try to log in remotely.Note that RDP the Remote Desktop Protocol is vulnerable toMan-in-the-middle attacks making it easy for attackers to steal thecredentials of legitimate users by impersonating the Windows server.,AU-15,2340,565
360,B,The commonName CN attribute of the SSL certificate presented forthis service is for a different machine.,AU-47,2340,565
448,C,The Jenkins web server running on the remote host is affected by aremote code execution vulnerability due to unsafe deserialize calls ofunauthenticated Java objects to the Groovy library specifically theruntime.MethodClosure class. An unauthenticated remote attacker canexploit this via a crafted XML file to execute arbitrary code on thetarget host.Note that the Jenkins web server may be affected by othervulnerabilities as well; however Nessus has not tested for these.,AU-76,5000,565
319,B,The Nessus scanner testing the remote host has been given SMBcredentials to log into the remote host however these credentials donot have administrative privileges. Typically when Nessus performs a patch audit it logs into the remotehost and reads the version of the DLLs on the remote host to determineif a given patch has been applied or not.  This is the method Microsoftrecommends to determine if a patch has been applied. If your Nessus scanner does not have administrative privileges whendoing a scan then Nessus has to fall back to perform a patch auditthrough the registry which may lead to false positives especially whenusing third-party patch auditing tools or to false negatives not allpatches can be detected through the registry.,AU-36,5000,565
